prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
aerobiosis,aerobic growth; aerobic respiration; oxidative metabolism,"aerobiosis (aerobic growth, aerobic respiration, oxidative metabolism)",https://lod.nal.usda.gov/nalt/4629,0.98,False,skos:related,EXCLUDE
amyotrophic lateral sclerosis,Guam disease,amyotrophic lateral sclerosis (Guam disease),https://lod.nal.usda.gov/nalt/264298,0.99,False,skos:related,EXCLUDE
anaerobiosis,anaerobic metabolism; anaerobic respiration,"anaerobiosis (anaerobic metabolism, anaerobic respiration)",https://lod.nal.usda.gov/nalt/8375,0.98,False,skos:related,EXCLUDE
anatomy and morphology,morphology and anatomy,anatomy and morphology (morphology and anatomy),https://lod.nal.usda.gov/nalt/8586,0.96,False,skos:broader; skos:narrower,EXCLUDE
animal fertility,animal infertility; animal sterility; animal subfertility,"animal fertility (animal infertility, animal sterility, animal subfertility)",https://lod.nal.usda.gov/nalt/9196,0.98,False,skos:broader; skos:narrower,EXCLUDE
animal reproduction,reproductive physiology (animals); theriogenology,"animal reproduction (reproductive physiology (animals), theriogenology)",https://lod.nal.usda.gov/nalt/3138,0.97,False,skos:broader; skos:narrower,EXCLUDE
anion pumps,anion transport proteins,anion pumps (anion transport proteins),https://lod.nal.usda.gov/nalt/196260,0.99,False,skos:related,EXCLUDE
antibody formation,antibody production; antibody response; autoantibody production,"antibody formation (antibody production, antibody response, autoantibody production)",https://lod.nal.usda.gov/nalt/10230,0.98,False,skos:broader; skos:narrower,EXCLUDE
antimitotic agents,antimitotic drugs; antimitotics,"antimitotic agents (antimitotic drugs, antimitotics)",https://lod.nal.usda.gov/nalt/316636,0.99,False,skos:related,EXCLUDE
bioencapsulation,,bioencapsulation,https://lod.nal.usda.gov/nalt/228596,0.95,False,skos:related,EXCLUDE
biological properties and phenomena,,biological properties and phenomena,https://lod.nal.usda.gov/nalt/107,0.99,False,skos:broader; skos:narrower,EXCLUDE
calcium ionophores,,calcium ionophores,https://lod.nal.usda.gov/nalt/297917,0.99,False,skos:related,EXCLUDE
cecropins,,cecropins,https://lod.nal.usda.gov/nalt/277515,0.98,False,skos:related,EXCLUDE
conceptus,,conceptus,https://lod.nal.usda.gov/nalt/28468,0.89,False,skos:broader; skos:narrower,EXCLUDE
cyanide-resistant respiration,cyanide insensitive respiration; cyanide resistant respiration,"cyanide-resistant respiration (cyanide insensitive respiration, cyanide resistant respiration)",https://lod.nal.usda.gov/nalt/23432,0.98,True,skos:broader; skos:narrower,EXCLUDE
cyanide-sensitive respiration,cyanide sensitive respiration,cyanide-sensitive respiration (cyanide sensitive respiration),https://lod.nal.usda.gov/nalt/23433,0.98,True,skos:broader; skos:narrower,EXCLUDE
cytogenetics,,cytogenetics,https://lod.nal.usda.gov/nalt/8825,0.95,True,skos:broader; skos:narrower,EXCLUDE
dermis,,dermis,https://lod.nal.usda.gov/nalt/32498,0.95,False,skos:related,EXCLUDE
digestive tract mucosa,esophageal mucosa; mouth mucosa; oesophageal mucosa,"digestive tract mucosa (esophageal mucosa, mouth mucosa, oesophageal mucosa)",https://lod.nal.usda.gov/nalt/33553,0.94,False,skos:broader; skos:narrower,EXCLUDE
DNA replication,,DNA replication,https://lod.nal.usda.gov/nalt/34224,0.97,False,skos:related,EXCLUDE
ecosystem respiration,,ecosystem respiration,https://lod.nal.usda.gov/nalt/189757,0.99,False,skos:related,EXCLUDE
electrofusion,,electrofusion,https://lod.nal.usda.gov/nalt/125072,0.96,False,skos:related,EXCLUDE
electron transport chain,electron transfer chain; respiratory chain,"electron transport chain (electron transfer chain, respiratory chain)",https://lod.nal.usda.gov/nalt/17286,0.99,False,skos:related,EXCLUDE
embryo (animal),animal embryos,embryo (animal) (animal embryos),https://lod.nal.usda.gov/nalt/8004,0.98,False,skos:broader; skos:narrower,EXCLUDE
embryonic germ layers,epiblast; germ layers,"embryonic germ layers (epiblast, germ layers)",https://lod.nal.usda.gov/nalt/317724,0.92,False,skos:broader; skos:narrower,EXCLUDE
explants,,explants,https://lod.nal.usda.gov/nalt/30702,0.86,False,skos:related,EXCLUDE
fetoplacental tissues,feto-placental tissues,fetoplacental tissues (feto-placental tissues),https://lod.nal.usda.gov/nalt/199428,0.93,False,skos:broader; skos:narrower,EXCLUDE
fetus,,fetus,https://lod.nal.usda.gov/nalt/34842,0.98,False,skos:broader; skos:narrower,EXCLUDE
ganglia,ganglion,ganglia (ganglion),https://lod.nal.usda.gov/nalt/1617,0.97,False,skos:related,EXCLUDE
gastrulation,,gastrulation,https://lod.nal.usda.gov/nalt/242280,0.97,False,skos:related,EXCLUDE
genetic similarity,genetic homogeneity,genetic similarity (genetic homogeneity),https://lod.nal.usda.gov/nalt/283766,0.99,False,skos:related,EXCLUDE
giardin protein,alpha-giardin; beta-giardin; delta-giardin; gamma-giardin,"giardin protein (alpha-giardin, beta-giardin, delta-giardin, gamma-giardin)",https://lod.nal.usda.gov/nalt/200635,0.99,False,skos:related,EXCLUDE
glioma,glial cell tumors,glioma (glial cell tumors),https://lod.nal.usda.gov/nalt/317772,0.98,False,skos:related,EXCLUDE
gliotoxins,aspergillin,gliotoxins (aspergillin),https://lod.nal.usda.gov/nalt/323535,0.98,False,skos:related,EXCLUDE
growth retardation,growth inhibition; growth reduction; stunting,"growth retardation (growth inhibition, growth reduction, stunting)",https://lod.nal.usda.gov/nalt/34962,0.96,False,skos:related,EXCLUDE
hematologic diseases,blood diseases; blood disorders; haematologic diseases; hematological diseases; hemic diseases,"hematologic diseases (blood diseases, blood disorders, haematologic diseases, hematological diseases, hemic diseases)",https://lod.nal.usda.gov/nalt/339,0.99,False,skos:broader; skos:narrower,EXCLUDE
hemostasis,haemostasis,hemostasis (haemostasis),https://lod.nal.usda.gov/nalt/18096,0.97,False,skos:broader; skos:narrower,EXCLUDE
histiocytosis,,histiocytosis,https://lod.nal.usda.gov/nalt/45637,0.96,False,skos:related,EXCLUDE
ichthyosis,xeroderma,ichthyosis (xeroderma),https://lod.nal.usda.gov/nalt/243840,0.94,False,skos:related,EXCLUDE
integument,body wall; exuviae,"integument (body wall, exuviae)",https://lod.nal.usda.gov/nalt/9103,0.99,False,skos:related,EXCLUDE
intestinal crypts,,intestinal crypts,https://lod.nal.usda.gov/nalt/47554,0.95,False,skos:broader; skos:narrower,EXCLUDE
intestines,intestinal tract,intestines (intestinal tract),https://lod.nal.usda.gov/nalt/42441,0.99,False,skos:broader; skos:narrower,EXCLUDE
keratinocyte growth factor receptor,FGF receptor 2IIIb; KGF receptor; fibroblast growth factor receptor 2IIIb; keratinocyte growth factor receptors,"keratinocyte growth factor receptor (FGF receptor 2IIIb, KGF receptor, fibroblast growth factor receptor 2IIIb, keratinocyte growth factor receptors)",https://lod.nal.usda.gov/nalt/222893,0.97,False,skos:related,EXCLUDE
kidneys,anterior kidney; head kidney,"kidneys (anterior kidney, head kidney)",https://lod.nal.usda.gov/nalt/9343,0.99,False,skos:related,EXCLUDE
Lewy bodies,,Lewy bodies,https://lod.nal.usda.gov/nalt/246142,0.98,True,skos:related,EXCLUDE
liquid membranes,,liquid membranes,https://lod.nal.usda.gov/nalt/229418,0.88,False,skos:related,EXCLUDE
liver,liver (anatomy),liver (liver (anatomy)),https://lod.nal.usda.gov/nalt/9344,0.99,False,skos:related,EXCLUDE
male fertility,male subfertility,male fertility (male subfertility),https://lod.nal.usda.gov/nalt/9205,0.97,False,skos:related,EXCLUDE
mitochondrial DNA,mtDNA (mitochondrial DNA),mitochondrial DNA (mtDNA (mitochondrial DNA)),https://lod.nal.usda.gov/nalt/34167,0.91,False,skos:related,EXCLUDE
mitochondrial genes,,mitochondrial genes,https://lod.nal.usda.gov/nalt/308393,0.92,False,skos:related,EXCLUDE
mitochondrial genome,mitogenome,mitochondrial genome (mitogenome),https://lod.nal.usda.gov/nalt/244932,0.88,False,skos:related,EXCLUDE
mitogens,phytomitogens,mitogens (phytomitogens),https://lod.nal.usda.gov/nalt/314424,0.96,False,skos:related,EXCLUDE
monocarboxylic acid transporters,lactate transport proteins; lactate transporters,"monocarboxylic acid transporters (lactate transport proteins, lactate transporters)",https://lod.nal.usda.gov/nalt/277897,0.95,False,skos:related,EXCLUDE
myogenin,,myogenin,https://lod.nal.usda.gov/nalt/287139,0.89,False,skos:related,EXCLUDE
nasal mucosa,,nasal mucosa,https://lod.nal.usda.gov/nalt/53591,0.98,False,skos:broader; skos:narrower,EXCLUDE
nucleocytoplasmic transport,nucleocytoplasmic trafficking,nucleocytoplasmic transport (nucleocytoplasmic trafficking),https://lod.nal.usda.gov/nalt/87320,0.96,False,skos:related,EXCLUDE
occludins,,occludins,https://lod.nal.usda.gov/nalt/215663,0.94,False,skos:related,EXCLUDE
organogenesis,,organogenesis,https://lod.nal.usda.gov/nalt/53498,0.99,False,skos:related,EXCLUDE
P-glycoproteins,multidrug resistance protein 1; permeability glycoproteins,"P-glycoproteins (multidrug resistance protein 1, permeability glycoproteins)",https://lod.nal.usda.gov/nalt/278020,0.97,False,skos:related,EXCLUDE
photorespiration,,photorespiration,https://lod.nal.usda.gov/nalt/23434,0.99,True,skos:broader; skos:narrower,EXCLUDE
placenta,placentae; placentome,"placenta (placentae, placentome)",https://lod.nal.usda.gov/nalt/36836,0.95,False,skos:broader; skos:narrower,EXCLUDE
plant nutrient resorption,,plant nutrient resorption,https://lod.nal.usda.gov/nalt/314552,0.95,False,skos:related,EXCLUDE
proliferating cell nuclear antigen,PCNA (proliferating cell nuclear antigen),proliferating cell nuclear antigen (PCNA (proliferating cell nuclear antigen)),https://lod.nal.usda.gov/nalt/23384,0.91,False,skos:related,EXCLUDE
quorum sensing,quorum signaling,quorum sensing (quorum signaling),https://lod.nal.usda.gov/nalt/23372,0.99,False,skos:related,EXCLUDE
respiratory system,respiratory tract,respiratory system (respiratory tract),https://lod.nal.usda.gov/nalt/5853,0.98,False,skos:broader; skos:narrower,EXCLUDE
root anatomy,,root anatomy,https://lod.nal.usda.gov/nalt/334626,0.97,False,skos:broader; skos:narrower,EXCLUDE
rumen,,rumen,https://lod.nal.usda.gov/nalt/41231,0.99,False,skos:broader; skos:narrower,EXCLUDE
semen quality,semen characteristics; semen characters,"semen quality (semen characteristics, semen characters)",https://lod.nal.usda.gov/nalt/296230,0.98,False,skos:related,EXCLUDE
seminiferous tubules,,seminiferous tubules,https://lod.nal.usda.gov/nalt/62834,0.93,False,skos:broader; skos:narrower,EXCLUDE
senescence (aging),aging (physiological process),senescence (aging) (aging (physiological process)),https://lod.nal.usda.gov/nalt/127,0.91,False,skos:related,EXCLUDE
sexual reproduction,,sexual reproduction,https://lod.nal.usda.gov/nalt/39946,0.99,False,skos:related,EXCLUDE
skin (animal),,skin (animal),https://lod.nal.usda.gov/nalt/32499,0.98,False,skos:broader; skos:narrower,EXCLUDE
SNARE proteins,SNAP receptors; soluble N-ethylmaleimide-sensitive factor activating protein receptor (SNARE) proteins; soluble N-ethylmaleimide-sensitive factor activating protein receptor proteins; t-SNAREs; target SNARE proteins; v-SNAREs; vesicle SNARE proteins,"SNARE proteins (SNAP receptors, soluble N-ethylmaleimide-sensitive factor activating protein receptor (SNARE) proteins, soluble N-ethylmaleimide-sensitive factor activating protein receptor proteins, t-SNAREs, target SNARE proteins, v-SNAREs, vesicle SNARE proteins)",https://lod.nal.usda.gov/nalt/283211,0.99,False,skos:related,EXCLUDE
somatic hybridization,somatic hybridisation,somatic hybridization (somatic hybridisation),https://lod.nal.usda.gov/nalt/46235,0.97,False,skos:related,EXCLUDE
sperm transport,sperm migration; transport in female genitalia; transport in male genitalia,"sperm transport (sperm migration, transport in female genitalia, transport in male genitalia)",https://lod.nal.usda.gov/nalt/9491,0.93,False,skos:related,EXCLUDE
tissue culture,tissue culturing,tissue culture (tissue culturing),https://lod.nal.usda.gov/nalt/9560,0.95,False,skos:related,EXCLUDE
transient receptor potential channels,TRP cation channels; TRP membrane proteins; transient receptor potential (TRP) channels,"transient receptor potential channels (TRP cation channels, TRP membrane proteins, transient receptor potential (TRP) channels)",https://lod.nal.usda.gov/nalt/271059,0.99,False,skos:related,EXCLUDE
velamen,velamen radicum; velamen roots,"velamen (velamen radicum, velamen roots)",https://lod.nal.usda.gov/nalt/309577,0.97,False,skos:broader; skos:narrower,EXCLUDE
ABC transporters,ABC-type transporters; ATP binding cassette transporters; ATP-binding cassette transporters,"ABC transporters (ABC-type transporters, ATP binding cassette transporters, ATP-binding cassette transporters)",https://lod.nal.usda.gov/nalt/1597,0.98,False,skos:related,EXCLUDE
active transport,,active transport,https://lod.nal.usda.gov/nalt/3931,0.96,False,skos:broader; skos:narrower,EXCLUDE
adhesins,bacterial adhesins,adhesins (bacterial adhesins),https://lod.nal.usda.gov/nalt/4196,0.99,False,skos:related,EXCLUDE
aerobic conditions,oxic conditions,aerobic conditions (oxic conditions),https://lod.nal.usda.gov/nalt/4630,0.99,False,skos:related,EXCLUDE
amino acid receptors,,amino acid receptors,https://lod.nal.usda.gov/nalt/281571,0.93,False,skos:related,EXCLUDE
apoplastic fluids,apoplast fluids,apoplastic fluids (apoplast fluids),https://lod.nal.usda.gov/nalt/296072,0.98,True,skos:related,EXCLUDE
asymmetric membranes,Loeb-Sourirajan membranes; anisotropic membranes; asymmetric cellulose acetate membranes; composite membranes,"asymmetric membranes (Loeb-Sourirajan membranes, anisotropic membranes, asymmetric cellulose acetate membranes, composite membranes)",https://lod.nal.usda.gov/nalt/291870,0.97,False,skos:related,EXCLUDE
asynapsis,asyndesis,asynapsis (asyndesis),https://lod.nal.usda.gov/nalt/13544,0.99,True,skos:broader; skos:narrower,EXCLUDE
bacterial motility,swarming motility; swimming motility,"bacterial motility (swarming motility, swimming motility)",https://lod.nal.usda.gov/nalt/15095,0.98,True,skos:related,EXCLUDE
bacterial outer membranes,,bacterial outer membranes,https://lod.nal.usda.gov/nalt/336289,0.97,True,skos:broader; skos:narrower,EXCLUDE
breathing,alveolar ventilation; exhalation; exhaling; inhalation; inhaling; lung respiration; lung ventilation; panting; respiration (breathing); ventilatory response,"breathing (alveolar ventilation, exhalation, exhaling, inhalation, inhaling, lung respiration, lung ventilation, panting, respiration (breathing), ventilatory response)",https://lod.nal.usda.gov/nalt/19684,0.99,False,skos:related,EXCLUDE
brefeldin A,,brefeldin A,https://lod.nal.usda.gov/nalt/148763,0.98,False,skos:related,EXCLUDE
cation pumps,cation efflux pumps; cation transport proteins,"cation pumps (cation efflux pumps, cation transport proteins)",https://lod.nal.usda.gov/nalt/196259,0.98,False,skos:related,EXCLUDE
cell free system,cell-free system; cellfree system,"cell free system (cell-free system, cellfree system)",https://lod.nal.usda.gov/nalt/23400,0.96,True,skos:broader; skos:narrower,EXCLUDE
cell wall components,cell wall composition; cell wall compounds; cell wall constituents,"cell wall components (cell wall composition, cell wall compounds, cell wall constituents)",https://lod.nal.usda.gov/nalt/23359,0.95,True,skos:related,EXCLUDE
cellulose fibrils,,cellulose fibrils,https://lod.nal.usda.gov/nalt/291537,0.97,False,skos:related,EXCLUDE
cellulose microfibrils,microfibrillar cellulose,cellulose microfibrils (microfibrillar cellulose),https://lod.nal.usda.gov/nalt/291539,0.95,False,skos:related,EXCLUDE
cellulosic fibers,cellulose fibers; cellulose fibres; cellulosic fibres,"cellulosic fibers (cellulose fibers, cellulose fibres, cellulosic fibres)",https://lod.nal.usda.gov/nalt/9216,0.94,False,skos:related,EXCLUDE
cellulosome,cellulolytic complexes,cellulosome (cellulolytic complexes),https://lod.nal.usda.gov/nalt/23495,0.99,True,skos:broader; skos:narrower,EXCLUDE
chromosome pairing,chromosomal synapsis; chromosome synapse; chromosome synapsis,"chromosome pairing (chromosomal synapsis, chromosome synapse, chromosome synapsis)",https://lod.nal.usda.gov/nalt/13546,0.92,True,skos:broader; skos:narrower,EXCLUDE
circulatory system physiology,,circulatory system physiology,https://lod.nal.usda.gov/nalt/9419,0.99,False,skos:broader; skos:narrower,EXCLUDE
cytoskeletal proteins,,cytoskeletal proteins,https://lod.nal.usda.gov/nalt/190838,0.91,False,skos:related,EXCLUDE
deprotonation,,deprotonation,https://lod.nal.usda.gov/nalt/322739,0.99,False,skos:related,EXCLUDE
desynapsis,,desynapsis,https://lod.nal.usda.gov/nalt/23389,0.94,True,skos:broader; skos:narrower,EXCLUDE
dynamins,dephosphin; dynamin; dynamin K44A,"dynamins (dephosphin, dynamin, dynamin K44A)",https://lod.nal.usda.gov/nalt/242721,0.93,False,skos:related,EXCLUDE
electrodialysis,,electrodialysis,https://lod.nal.usda.gov/nalt/271028,0.99,False,skos:related,EXCLUDE
electron transfer,electron transport,electron transfer (electron transport),https://lod.nal.usda.gov/nalt/36193,0.92,False,skos:related,EXCLUDE
electroosmosis,electroosmotic flow,electroosmosis (electroosmotic flow),https://lod.nal.usda.gov/nalt/282559,0.98,False,skos:broader; skos:narrower,EXCLUDE
extracellular enzymes,exoenzymes,extracellular enzymes (exoenzymes),https://lod.nal.usda.gov/nalt/315658,0.97,False,skos:related,EXCLUDE
Fabry disease,,Fabry disease,https://lod.nal.usda.gov/nalt/299590,0.99,False,skos:related,EXCLUDE
flagellin,,flagellin,https://lod.nal.usda.gov/nalt/144694,0.98,False,skos:related,EXCLUDE
fluorescence recovery after photobleaching,FRAP (fluorescence recovery after photobleaching),fluorescence recovery after photobleaching (FRAP (fluorescence recovery after photobleaching)),https://lod.nal.usda.gov/nalt/262830,0.9,False,skos:related,EXCLUDE
gametolysin,EC 3.4.24.38; autolysins; gamete autolysin; gamete lytic enzyme,"gametolysin (EC 3.4.24.38, autolysins, gamete autolysin, gamete lytic enzyme)",https://lod.nal.usda.gov/nalt/240810,0.96,False,skos:related,EXCLUDE
gene transfer,gene delivery,gene transfer (gene delivery),https://lod.nal.usda.gov/nalt/17418,0.95,False,skos:related,EXCLUDE
genetic techniques and protocols,,genetic techniques and protocols,https://lod.nal.usda.gov/nalt/17409,0.99,False,skos:broader; skos:narrower,EXCLUDE
hematology,haematology,hematology (haematology),https://lod.nal.usda.gov/nalt/17474,0.99,False,skos:related,EXCLUDE
hemicellulose,,hemicellulose,https://lod.nal.usda.gov/nalt/45073,0.99,False,skos:related,EXCLUDE
hydrolysis,,hydrolysis,https://lod.nal.usda.gov/nalt/24669,0.99,False,skos:related,EXCLUDE
innexins,,innexins,https://lod.nal.usda.gov/nalt/296625,0.98,False,skos:related,EXCLUDE
intracellular enzymes,endoenzymes,intracellular enzymes (endoenzymes),https://lod.nal.usda.gov/nalt/315659,0.95,False,skos:related,EXCLUDE
ion transport,electrogenic pumps; ion transportation; ion uptake,"ion transport (electrogenic pumps, ion transportation, ion uptake)",https://lod.nal.usda.gov/nalt/47612,0.97,False,skos:broader; skos:narrower,EXCLUDE
isotropic membranes,,isotropic membranes,https://lod.nal.usda.gov/nalt/291882,0.94,False,skos:related,EXCLUDE
lecithins,,lecithins,https://lod.nal.usda.gov/nalt/84498,0.99,False,skos:related,EXCLUDE
lignin,,lignin,https://lod.nal.usda.gov/nalt/50048,0.99,False,skos:related,EXCLUDE
lipid transfer proteins,glycolipid exchange proteins; glycolipid transfer proteins; lipid exchange proteins; phospholipid transfer proteins,"lipid transfer proteins (glycolipid exchange proteins, glycolipid transfer proteins, lipid exchange proteins, phospholipid transfer proteins)",https://lod.nal.usda.gov/nalt/281496,0.98,False,skos:related,EXCLUDE
lipoteichoic acids,,lipoteichoic acids,https://lod.nal.usda.gov/nalt/271991,0.99,False,skos:related,EXCLUDE
lymphocyte antigens,,lymphocyte antigens,https://lod.nal.usda.gov/nalt/10362,0.94,False,skos:related,EXCLUDE
macroautophagy,aggrephagy; chaperone-assisted selective autophagy; lysophagy; pexophagy; proteaphagy; xenophagy,"macroautophagy (aggrephagy, chaperone-assisted selective autophagy, lysophagy, pexophagy, proteaphagy, xenophagy)",https://lod.nal.usda.gov/nalt/310092,0.96,True,skos:related,EXCLUDE
mannans,galactoglucomannans,mannans (galactoglucomannans),https://lod.nal.usda.gov/nalt/42154,0.98,False,skos:related,EXCLUDE
meiotic drive,,meiotic drive,https://lod.nal.usda.gov/nalt/23391,0.96,True,skos:broader; skos:narrower,EXCLUDE
monosaccharide transport proteins,hexose transport proteins; hexose transporters,"monosaccharide transport proteins (hexose transport proteins, hexose transporters)",https://lod.nal.usda.gov/nalt/296223,0.94,False,skos:related,EXCLUDE
motor neurons,efferent neurons; motoneurones; motoneurons; motor nerves; motor neurones,"motor neurons (efferent neurons, motoneurones, motoneurons, motor nerves, motor neurones)",https://lod.nal.usda.gov/nalt/35923,0.99,False,skos:broader; skos:narrower,EXCLUDE
nanopores,,nanopores,https://lod.nal.usda.gov/nalt/259874,0.97,False,skos:related,EXCLUDE
neurogenesis,,neurogenesis,https://lod.nal.usda.gov/nalt/199243,0.95,False,skos:related,EXCLUDE
neuroplasticity,neurite pruning; neuronal plasticity; neuronal pruning; synaptic plasticity; synaptic pruning,"neuroplasticity (neurite pruning, neuronal plasticity, neuronal pruning, synaptic plasticity, synaptic pruning)",https://lod.nal.usda.gov/nalt/246161,0.9,False,skos:related,EXCLUDE
nutrient transport,,nutrient transport,https://lod.nal.usda.gov/nalt/55447,0.92,False,skos:broader; skos:narrower,EXCLUDE
nutrient uptake,nutrient absorption,nutrient uptake (nutrient absorption),https://lod.nal.usda.gov/nalt/47552,0.84,False,skos:broader; skos:narrower,EXCLUDE
O-antigens,O-specific polysaccharides,O-antigens (O-specific polysaccharides),https://lod.nal.usda.gov/nalt/312451,0.98,False,skos:related,EXCLUDE
organelle genome,organelle genetics,organelle genome (organelle genetics),https://lod.nal.usda.gov/nalt/25480,0.89,False,skos:related,EXCLUDE
osmoregulation,osmoregulatory ability; osmoregulatory capacity; osmotic regulation; water balance regulation,"osmoregulation (osmoregulatory ability, osmoregulatory capacity, osmotic regulation, water balance regulation)",https://lod.nal.usda.gov/nalt/56341,0.81,False,skos:related,EXCLUDE
osmotic pressure,osmotic potential,osmotic pressure (osmotic potential),https://lod.nal.usda.gov/nalt/56337,0.97,False,skos:related,EXCLUDE
osmotic treatment,osmotic pretreatment,osmotic treatment (osmotic pretreatment),https://lod.nal.usda.gov/nalt/56339,0.96,False,skos:related,EXCLUDE
oxygen requirement,,oxygen requirement,https://lod.nal.usda.gov/nalt/8383,0.98,False,skos:related,EXCLUDE
pannexins,,pannexins,https://lod.nal.usda.gov/nalt/296627,0.83,False,skos:related,EXCLUDE
phospholipid-hydroperoxide glutathione peroxidase,EC 1.11.1.12; GPX4 glutathione peroxidase; PHGPX (phospholipid-hydroperoxide glutathione peroxidase); glutathione peroxidase 4; glutathione peroxidase GPX4; hydroperoxide glutathione peroxidase; phospholipid hydroperoxide glutathione peroxidase,"phospholipid-hydroperoxide glutathione peroxidase (EC 1.11.1.12, GPX4 glutathione peroxidase, PHGPX (phospholipid-hydroperoxide glutathione peroxidase), glutathione peroxidase 4, glutathione peroxidase GPX4, hydroperoxide glutathione peroxidase, phospholipid hydroperoxide glutathione peroxidase)",https://lod.nal.usda.gov/nalt/131681,0.99,False,skos:related,EXCLUDE
physical chemistry,,physical chemistry,https://lod.nal.usda.gov/nalt/24620,0.99,False,skos:broader; skos:narrower,EXCLUDE
physical properties,physical properties of materials,physical properties (physical properties of materials),https://lod.nal.usda.gov/nalt/1796,0.98,False,skos:broader; skos:narrower,EXCLUDE
physicochemical properties,chemical properties; chemicophysical properties; physico-chemical properties,"physicochemical properties (chemical properties, chemicophysical properties, physico-chemical properties)",https://lod.nal.usda.gov/nalt/2828,0.95,False,skos:broader; skos:narrower,EXCLUDE
plant anatomy,plant parts,plant anatomy (plant parts),https://lod.nal.usda.gov/nalt/851,0.94,False,skos:broader; skos:narrower,EXCLUDE
pollen walls,,pollen walls,https://lod.nal.usda.gov/nalt/334600,0.98,True,skos:broader; skos:narrower,EXCLUDE
post-translational modification,post-translational amino acid modification; post-translational protein modification; post-translational protein processing; posttranslational modification; posttranslational protein processing,"post-translational modification (post-translational amino acid modification, post-translational protein modification, post-translational protein processing, posttranslational modification, posttranslational protein processing)",https://lod.nal.usda.gov/nalt/59362,0.99,False,skos:broader; skos:narrower,EXCLUDE
processing technology,industrial processing; process technology; processing methods,"processing technology (industrial processing, process technology, processing methods)",https://lod.nal.usda.gov/nalt/2770,0.99,False,skos:broader; skos:narrower,EXCLUDE
protein folding,enzyme folding,protein folding (enzyme folding),https://lod.nal.usda.gov/nalt/59913,0.96,False,skos:related,EXCLUDE
protein unfolding,enzyme unfolding,protein unfolding (enzyme unfolding),https://lod.nal.usda.gov/nalt/270537,0.96,False,skos:related,EXCLUDE
proteolysis,,proteolysis,https://lod.nal.usda.gov/nalt/32271,0.94,False,skos:related,EXCLUDE
protolignin,,protolignin,https://lod.nal.usda.gov/nalt/325588,0.97,False,skos:related,EXCLUDE
proton extrusion,,proton extrusion,https://lod.nal.usda.gov/nalt/311369,0.95,False,skos:broader; skos:narrower,EXCLUDE
protons,,protons,https://lod.nal.usda.gov/nalt/36246,0.99,False,skos:related,EXCLUDE
reaction chemistry,,reaction chemistry,https://lod.nal.usda.gov/nalt/24658,0.98,False,skos:broader; skos:narrower,EXCLUDE
reverse osmosis,,reverse osmosis,https://lod.nal.usda.gov/nalt/194991,0.99,False,skos:broader; skos:narrower,EXCLUDE
RNA transport,RNA export; RNA sorting; mRNA export; mRNA sorting; mRNA transport; messenger RNA sorting; ribonucleic acid transport,"RNA transport (RNA export, RNA sorting, mRNA export, mRNA sorting, mRNA transport, messenger RNA sorting, ribonucleic acid transport)",https://lod.nal.usda.gov/nalt/225409,0.96,False,skos:broader; skos:narrower,EXCLUDE
sensory neurons,afferent neurons; sensory neurones,"sensory neurons (afferent neurons, sensory neurones)",https://lod.nal.usda.gov/nalt/4780,0.99,False,skos:broader; skos:narrower,EXCLUDE
spliceosomes,,spliceosomes,https://lod.nal.usda.gov/nalt/56076,0.98,True,skos:broader; skos:narrower,EXCLUDE
sporopollenin,,sporopollenin,https://lod.nal.usda.gov/nalt/252751,0.99,False,skos:related,EXCLUDE
stress response,response to stress,stress response (response to stress),https://lod.nal.usda.gov/nalt/146600,0.87,False,skos:related,EXCLUDE
sympathetic nervous system,,sympathetic nervous system,https://lod.nal.usda.gov/nalt/14034,0.98,False,skos:related,EXCLUDE
symporters,co-transporters,symporters (co-transporters),https://lod.nal.usda.gov/nalt/65313,0.92,False,skos:related,EXCLUDE
synaptic transmission,neural transmission; neurotransmission,"synaptic transmission (neural transmission, neurotransmission)",https://lod.nal.usda.gov/nalt/54717,0.98,False,skos:related,EXCLUDE
teichoic acids,,teichoic acids,https://lod.nal.usda.gov/nalt/271989,0.95,False,skos:related,EXCLUDE
thylakoids,thylakoid lumen; thylakoid membrane,"thylakoids (thylakoid lumen, thylakoid membrane)",https://lod.nal.usda.gov/nalt/23410,0.97,True,skos:broader; skos:narrower,EXCLUDE
transport proteins,carrier proteins; translocator proteins; transporter proteins,"transport proteins (carrier proteins, translocator proteins, transporter proteins)",https://lod.nal.usda.gov/nalt/17197,0.93,False,skos:related,EXCLUDE
transporters,efflux pumps; export pumps; ion pumps; membrane pumps; membrane transport proteins,"transporters (efflux pumps, export pumps, ion pumps, membrane pumps, membrane transport proteins)",https://lod.nal.usda.gov/nalt/1600,0.91,False,skos:related,EXCLUDE
type I secretion system,T1SS (type I secretion system); type I secretion apparatus; type I secretion process; type one secretion system,"type I secretion system (T1SS (type I secretion system), type I secretion apparatus, type I secretion process, type one secretion system)",https://lod.nal.usda.gov/nalt/245155,0.98,False,skos:related,EXCLUDE
type IV secretion system,type IV secretion apparatus; type IV secretion machinery,"type IV secretion system (type IV secretion apparatus, type IV secretion machinery)",https://lod.nal.usda.gov/nalt/245157,0.98,False,skos:related,EXCLUDE
